Frequency,A,C
10.0,-70.4,-14.3
12.5,-63.4,-11.2
16.0,-56.7,-8.5
20.0,-50.5,-6.2
25.0,-44.7,-4.4
31.5,-39.4,-3.0
40.0,-34.6,-2.0
50.0,-30.2,-1.3
63.0,-26.2,-0.8
80.0,-22.5,-0.5
100.0,-19.1,-0.3
125.0,-16.1,-0.2
160.0,-13.4,-0.1
200.0,-10.9,0.0
250.0,-8.6,0.0
315.0,-6.6,0.0
400.0,-4.8,0.0
500.0,-3.2,0.0
630.0,-1.9,0.0
800.0,-0.8,0.0
1000.0,0.0,0.0
1250.0,0.6,0.0
1600.0,1.0,-0.1
2000.0,1.2,-0.2
2500.0,1.3,-0.3
3150.0,1.2,-0.5
4000.0,1.0,-0.8
5000.0,0.5,-1.3
6300.0,-0.1,-2.0
8000.0,-1.1,-3.0
10000.0,-2.5,-4.4
12500.0,-4.3,-6.2
16000.0,-6.6,-8.5
20000.0,-9.3,-11.2
